Timestamp,SFPS,FT,CFPS,14aade8a-e6ee-4d46-b745-2a4e5b43bd02,4e797072-b555-4b79-8e6a-c62512e886ec,12ffac11-a424-42a5-bd27-02bfd75d9913
2014.05.11-20.07.18,55,40,0,0,0
2014.05.11-20.07.19,55,35.66667,0,0,0
2014.05.11-20.07.20,55,35.66667,0,0,0
2014.05.11-20.07.21,55,35.66667,0,0,0
2014.05.11-20.07.22,54,40.33333,0,0,0
2014.05.11-20.07.23,54,40.33333,0,0,0
2014.05.11-20.07.24,54,40.33333,0,0,0
2014.05.11-20.07.25,55,43.66667,0,0,0
2014.05.11-20.07.26,55,43.66667,0,0,0
2014.05.11-20.07.27,55,43.66667,0,0,0
2014.05.11-20.07.28,55,35.33333,0,0,0
2014.05.11-20.07.29,55,35.33333,0,0,0
2014.05.11-20.07.30,55,35.33333,0,0,0
2014.05.11-20.07.31,54,35.33333,0,0,0
2014.05.11-20.07.32,54,35.33333,136,122,61
2014.05.11-20.07.33,54,35.33333,0,0,0
2014.05.11-20.07.34,55,38.33333,83,28,13
2014.05.11-20.07.35,55,38.33333,111,72,76
2014.05.11-20.07.36,55,38.33333,121,75,112
2014.05.11-20.07.37,55,60.33333,126,83,166
2014.05.11-20.07.38,55,60.33333,134,85,194
2014.05.11-20.07.39,55,60.33333,124,83,185
2014.05.11-20.07.40,54,38.33333,118,80,193
2014.05.11-20.07.41,54,38.33333,125,81,190
2014.05.11-20.07.42,54,38.33333,123,80,182
2014.05.11-20.07.43,55,64.66666,125,80,175
2014.05.11-20.07.44,55,64.66666,119,76,152
2014.05.11-20.07.45,55,64.66666,121,82,185
2014.05.11-20.07.46,55,37.33333,115,75,191
2014.05.11-20.07.47,55,37.33333,114,81,181
2014.05.11-20.07.48,55,37.33333,121,81,181
2014.05.11-20.07.49,54,37,116,80,173
2014.05.11-20.07.50,54,37,121,80,180
2014.05.11-20.07.51,54,37,118,81,176
2014.05.11-20.07.52,55,36,122,80,177
2014.05.11-20.07.53,55,36,120,81,176
2014.05.11-20.07.54,55,36,119,72,185
2014.05.11-20.07.55,55,35.66667,124,77,177
2014.05.11-20.07.56,55,35.66667,117,81,145
2014.05.11-20.07.57,55,35.66667,116,80,182
2014.05.11-20.07.58,54,47.66667,112,80,172
2014.05.11-20.07.59,54,47.66667,121,76,169
2014.05.11-20.08.00,54,47.66667,121,75,162
2014.05.11-20.08.01,55,35.33333,120,75,167
2014.05.11-20.08.02,55,35.33333,120,80,174
2014.05.11-20.08.03,55,35.33333,115,77,176
2014.05.11-20.08.04,55,39,120,76,176
2014.05.11-20.08.05,55,39,120,74,169
2014.05.11-20.08.06,55,39,121,67,180
2014.05.11-20.08.07,54,36.33333,115,66,174
2014.05.11-20.08.08,54,36.33333,101,75,172
2014.05.11-20.08.09,54,36.33333,119,75,175
2014.05.11-20.08.10,55,37.66667,111,71,167
2014.05.11-20.08.11,55,37.66667,116,71,172
2014.05.11-20.08.12,55,37.66667,115,72,168
2014.05.11-20.08.13,55,48.33333,98,77,170
2014.05.11-20.08.14,55,48.33333,105,77,183
2014.05.11-20.08.15,55,48.33333,111,81,175
2014.05.11-20.08.16,54,51,0,0,0
2014.05.11-20.08.17,54,51,0,0,0
2014.05.11-20.08.18,54,51,0,0,0
2014.05.11-20.08.19,55,50.66667,123,81,197
2014.05.11-20.08.20,55,50.66667,128,81,192
2014.05.11-20.08.21,55,50.66667,98,90,197
2014.05.11-20.08.22,55,30.33333,109,74,200
2014.05.11-20.08.23,55,30.33333,92,76,181
2014.05.11-20.08.24,55,30.33333,98,86,189
2014.05.11-20.08.25,54,34.66667,110,76,177
2014.05.11-20.08.26,54,34.66667,108,82,173
2014.05.11-20.08.27,54,34.66667,99,81,185
2014.05.11-20.08.28,55,30,99,71,184
2014.05.11-20.08.29,55,30,107,69,180
2014.05.11-20.08.30,55,30,99,80,176
2014.05.11-20.08.31,55,35,99,76,191
2014.05.11-20.08.32,55,35,89,83,203
2014.05.11-20.08.33,55,35,82,74,200
2014.05.11-20.08.34,54,31.33333,87,67,180
2014.05.11-20.08.35,54,31.33333,85,49,188
2014.05.11-20.08.36,54,31.33333,69,58,173
2014.05.11-20.08.37,55,38.66667,66,61,186
2014.05.11-20.08.38,55,38.66667,63,60,198
2014.05.11-20.08.39,55,38.66667,59,51,177
2014.05.11-20.08.40,55,122.3333,69,52,130
2014.05.11-20.08.41,55,122.3333,59,35,62
2014.05.11-20.08.42,55,122.3333,115,39,47
2014.05.11-20.08.43,54,98.66666,94,36,49
2014.05.11-20.08.44,54,98.66666,165,41,46
2014.05.11-20.08.45,54,98.66666,118,36,54
2014.05.11-20.08.46,50,164.3333,54,42,133
2014.05.11-20.08.47,50,164.3333,48,31,92
2014.05.11-20.08.48,50,164.3333,42,37,73
2014.05.11-20.08.49,55,137.3333,47,36,69
2014.05.11-20.08.50,55,137.3333,31,49,103
2014.05.11-20.08.51,55,137.3333,34,70,91
2014.05.11-20.08.52,55,117,61,115,114
2014.05.11-20.08.53,55,117,69,130,143
2014.05.11-20.08.54,55,117,115,101,159
2014.05.11-20.08.55,54,120.3333,109,163,188
2014.05.11-20.08.56,54,120.3333,145,135,193
2014.05.11-20.08.57,54,120.3333,66,89,187
2014.05.11-20.08.58,55,127,82,87,172
2014.05.11-20.08.59,55,127,79,93,166
2014.05.11-20.09.00,55,127,85,83,177
2014.05.11-20.09.01,55,87.33334,83,82,160
2014.05.11-20.09.02,55,87.33334,70,86,158
2014.05.11-20.09.03,55,87.33334,84,71,133
2014.05.11-20.09.04,54,119.6667,59,58,94
2014.05.11-20.09.05,54,119.6667,57,54,69
2014.05.11-20.09.06,54,119.6667,104,71,78
2014.05.11-20.09.07,55,102.3333,112,70,103
2014.05.11-20.09.08,55,102.3333,109,87,96
2014.05.11-20.09.09,55,102.3333,85,73,106
2014.05.11-20.09.10,54,93.33334,87,68,100
2014.05.11-20.09.11,54,93.33334,84,65,99
2014.05.11-20.09.12,54,93.33334,105,64,110
2014.05.11-20.09.13,55,110.6667,86,59,58
2014.05.11-20.09.14,55,110.6667,103,83,89
2014.05.11-20.09.15,55,110.6667,101,85,81
2014.05.11-20.09.16,55,122.3333,92,103,121
2014.05.11-20.09.17,55,122.3333,112,99,140
2014.05.11-20.09.18,55,122.3333,104,97,128
2014.05.11-20.09.19,54,123,117,92,117
2014.05.11-20.09.20,54,123,81,67,127
2014.05.11-20.09.21,54,123,102,87,114
2014.05.11-20.09.22,55,135.3333,96,85,120
2014.05.11-20.09.23,55,135.3333,82,82,160
2014.05.11-20.09.24,55,135.3333,91,81,146
2014.05.11-20.09.25,55,142,85,73,113
2014.05.11-20.09.26,55,142,102,61,121
2014.05.11-20.09.27,55,142,101,61,120
2014.05.11-20.09.28,54,80,92,83,114
2014.05.11-20.09.29,54,80,112,80,114
2014.05.11-20.09.30,54,80,105,78,120
2014.05.11-20.09.31,55,96,102,79,117
2014.05.11-20.09.32,55,96,91,87,116
2014.05.11-20.09.33,55,96,107,96,146
2014.05.11-20.09.34,55,126.6667,118,100,134
2014.05.11-20.09.35,55,126.6667,145,104,128
2014.05.11-20.09.36,55,126.6667,161,101,123
2014.05.11-20.09.37,54,131.3333,160,92,143
2014.05.11-20.09.38,54,131.3333,158,93,140
2014.05.11-20.09.39,54,131.3333,171,82,140
2014.05.11-20.09.40,55,142.3333,145,92,145
2014.05.11-20.09.41,55,142.3333,172,77,148
2014.05.11-20.09.42,55,142.3333,0,0,0
2014.05.11-20.09.43,55,134.6667,147,82,146
2014.05.11-20.09.44,55,134.6667,99,78,153
2014.05.11-20.09.45,55,134.6667,121,67,133
2014.05.11-20.09.46,54,126.3333,109,77,145
2014.05.11-20.09.47,54,126.3333,92,73,150
2014.05.11-20.09.48,54,126.3333,77,64,150
2014.05.11-20.09.49,55,133.6667,67,55,102
2014.05.11-20.09.50,55,133.6667,63,58,71
2014.05.11-20.09.51,55,133.6667,77,50,79
2014.05.11-20.09.52,55,126,58,63,108
2014.05.11-20.09.53,55,126,70,69,129
2014.05.11-20.09.54,55,126,81,67,88
2014.05.11-20.09.55,54,148,45,72,62
2014.05.11-20.09.56,54,148,58,49,58
2014.05.11-20.09.57,54,148,69,41,62
2014.05.11-20.09.58,55,171.3333,71,58,87
2014.05.11-20.09.59,55,171.3333,85,68,79
2014.05.11-20.10.00,55,171.3333,53,61,80
2014.05.11-20.10.01,55,163.6667,93,67,113
2014.05.11-20.10.02,55,163.6667,97,79,154
2014.05.11-20.10.03,55,163.6667,115,83,147
2014.05.11-20.10.04,54,158.6667,110,73,136
2014.05.11-20.10.05,54,158.6667,132,76,128
2014.05.11-20.10.06,54,158.6667,135,85,123
2014.05.11-20.10.07,55,190,74,81,140
2014.05.11-20.10.08,55,190,71,78,71
2014.05.11-20.10.09,55,190,82,56,79
2014.05.11-20.10.10,55,170,107,76,92
2014.05.11-20.10.11,55,170,104,88,107
2014.05.11-20.10.12,55,170,130,94,104
2014.05.11-20.10.13,54,109,145,107,100
2014.05.11-20.10.14,54,109,171,111,91
