Timestamp,Second,Sample#,CFPS,Polygons,Ping
2014.06.03-13.44.11,63537399851208.5,1,-,-,-
2014.06.03-13.44.12,63537399852020.6,2,-,-,-
2014.06.03-13.44.13,63537399853010.6,3,-,-,-
2014.06.03-13.44.14,63537399854012.7,4,-,-,-
2014.06.03-13.44.15,63537399855003.7,5,-,-,-
2014.06.03-13.44.16,63537399856023.8,6,-,-,-
2014.06.03-13.44.17,63537399857013.8,7,-,-,-
2014.06.03-13.44.18,63537399858003.9,8,-,-,-
2014.06.03-13.44.19,63537399859024,9,-,-,-
2014.06.03-13.44.20,63537399860014,10,-,-,-
2014.06.03-13.44.21,63537399861004.1,11,-,-,-
2014.06.03-13.44.22,63537399862024.1,12,-,-,-
2014.06.03-13.44.23,63537399863014.2,13,-,-,-
2014.06.03-13.44.24,63537399864004.2,14,-,-,-
2014.06.03-13.44.25,63537399865024.3,15,-,-,-
2014.06.03-13.44.26,63537399866014.4,16,-,-,-
2014.06.03-13.44.27,63537399867004.4,17,-,-,-
2014.06.03-13.44.28,63537399868024.5,18,-,-,-
2014.06.03-13.44.29,63537399869014.5,19,-,-,-
2014.06.03-13.44.30,63537399870004.6,20,-,-,-
2014.06.03-13.44.31,63537399871024.6,21,-,-,-
2014.06.03-13.44.32,63537399872014.7,22,-,-,-
2014.06.03-13.44.33,63537399873004.8,23,-,-,-
2014.06.03-13.44.34,63537399874024.8,24,-,-,-
2014.06.03-13.44.35,63537399875014.9,25,-,-,-
2014.06.03-13.44.36,63537399876004.9,26,-,-,-
2014.06.03-13.44.37,63537399877025,27,-,-,-
2014.06.03-13.44.38,63537399878015,28,-,-,-
2014.06.03-13.44.39,63537399879005.1,29,-,-,-
2014.06.03-13.44.40,63537399880025.2,30,-,-,-
2014.06.03-13.44.41,63537399881015.2,31,-,-,-
2014.06.03-13.44.42,63537399882005.3,32,-,-,-
2014.06.03-13.44.43,63537399883025.3,33,-,-,-
2014.06.03-13.44.44,63537399884015.4,34,-,-,-
2014.06.03-13.44.45,63537399885005.4,35,-,-,-
2014.06.03-13.44.46,63537399886025.5,36,-,-,-
2014.06.03-13.44.47,63537399887015.6,37,-,-,-
2014.06.03-13.44.48,63537399888005.6,38,-,-,-
2014.06.03-13.44.49,63537399889025.7,39,-,-,-
2014.06.03-13.44.50,63537399890015.7,40,-,-,-
2014.06.03-13.44.51,63537399891005.8,41,-,-,-
2014.06.03-13.44.52,63537399892025.8,42,-,-,-
2014.06.03-13.44.53,63537399893015.9,43,-,-,-
2014.06.03-13.44.54,63537399894006,44,-,-,-
2014.06.03-13.44.55,63537399895026,45,-,-,-
2014.06.03-13.44.56,63537399896016.1,46,-,-,-
2014.06.03-13.44.57,63537399897006.1,47,-,-,-
2014.06.03-13.44.58,63537399898026.2,48,-,-,-
2014.06.03-13.44.59,63537399899016.3,49,-,-,-
2014.06.03-13.45.00,63537399900006.3,50,-,-,-
2014.06.03-13.45.01,63537399901026.4,51,-,-,-
2014.06.03-13.45.02,63537399902016.4,52,-,-,-
2014.06.03-13.45.03,63537399903006.5,53,-,-,-
2014.06.03-13.45.04,63537399904026.5,54,-,-,-
2014.06.03-13.45.05,63537399905016.6,55,-,-,-
2014.06.03-13.45.06,63537399906006.6,56,-,-,-
2014.06.03-13.45.07,63537399907026.7,57,-,-,-
2014.06.03-13.45.08,63537399908016.8,58,-,-,-
2014.06.03-13.45.09,63537399909006.8,59,-,-,-
2014.06.03-13.45.10,63537399910026.9,60,-,-,-
2014.06.03-13.45.11,63537399911019.9,61,-,-,-
2014.06.03-13.45.12,63537399912010,62,-,-,-
2014.06.03-13.45.13,63537399913000,63,-,-,-
2014.06.03-13.45.14,63537399914020.1,64,-,-,-
